EEID;First Name;Last Name;Gender;Age;Retirement Years;Job Title;Department;Business Unit;Ethnicity;Hire Date;año;mes;dia;Annual Salary;Bonus %;Total Salary;Country;City;Exit Date
E03446;Julian;Ross;Male;51;14;Manager;Marketing;Research & Development;Caucasian;2/7/2020;2020;7;2;100,099;0,08;108,10692;United States;Miami;
E01361;Emma;Hill;Female;54;11;IT Coordinator;IT;Manufacturing;Caucasian;27/12/2016;2016;12;27;41,673;0;41,673;United States;Miami;
E01631;Leilani;Yee;Female;47;18;Sr. Analyst;Marketing;Speciality Products;Asian;12/7/2017;2017;7;12;70,996;0;70,996;China;Chengdu;
E03719;Jack;Brown;Male;55;10;Analyst;Marketing;Corporate;Caucasian;7/12/2004;2004;12;7;40,752;0;40,752;United States;Phoenix;
E03269;Charlotte;Chu;Female;50;15;Network Engineer;IT;Manufacturing;Asian;23/1/2001;2001;1;23;97,537;0;97,537;China;Chengdu;
E01037;Jeremiah;Chu;Male;31;34;IT Systems Architect;IT;Research & Development;Asian;12/9/2020;2020;9;12;96,567;0;96,567;China;Shanghai;
E00671;Miles;Cho;Male;47;18;Systems Analyst;IT;Speciality Products;Asian;10/3/1999;1999;3;10;49,404;0;49,404;China;Beijing;
E02216;Caleb;Marquez;Male;29;36;IT Systems Architect;IT;Research & Development;Latino;15/10/2019;2019;10;15;66,819;0;66,819;Brazil;Rio de Janerio;
E02803;Eli;Soto;Male;38;27;Analyst;Marketing;Speciality Products;Latino;2/5/2016;2016;5;2;50,784;0;50,784;Brazil;Rio de Janerio;
E01584;Carter;Mejia;Male;29;36;Sr. Manger;Human Resources;Research & Development;Latino;9/5/2019;2019;5;9;125,828;0,15;144,7022;Brazil;Sao Paulo;
E02489;Ethan;Clark;Male;33;32;Sr. Business Partner;Human Resources;Manufacturing;Caucasian;4/8/2017;2017;8;4;92,61;0;92,61;United States;Columbus;
E03189;Asher;Jackson;Male;50;15;Sr. Manger;Sales;Speciality Products;Caucasian;25/3/2003;2003;3;25;123,405;0,13;139,44765;United States;Columbus;
E03560;Ayla;Ng;Female;46;19;Account Representative;Sales;Manufacturing;Asian;20/3/2004;2004;3;20;73,004;0;73,004;China;Beijing;
E00769;Jose;Kang;Male;57;8;Engineering Manager;Engineering;Corporate;Asian;25/4/1999;1999;4;25;95,061;0,1;104,5671;China;Shanghai;
E02791;Aubrey;Romero;Female;49;16;Director;Sales;Corporate;Latino;2/4/1998;1998;4;2;160,832;0,3;209,0816;United States;Phoenix;
E02333;Jaxson;Wright;Male;54;11;Service Desk Analyst;IT;Manufacturing;Black;28/12/2010;2010;12;28;64,417;0;64,417;United States;Columbus;
E01002;Elias;Ali;Male;28;37;Manager;Sales;Corporate;Asian;19/3/2021;2021;3;19;127,543;0,06;135,19558;China;Shanghai;
E03520;Nolan;Pena;Male;30;35;Analyst;Marketing;Manufacturing;Latino;21/6/2018;2018;6;21;56,154;0;56,154;Brazil;Sao Paulo;
E00752;Luna;Liu;Female;36;29;Vice President;Sales;Manufacturing;Asian;22/2/2014;2014;2;22;218,53;0,3;284,089;China;Shanghai;
E00233;Brooklyn;Reyes;Female;36;29;Service Desk Analyst;IT;Manufacturing;Latino;19/12/2019;2019;12;19;91,954;0;91,954;United States;Columbus;
E02639;Hadley;Parker;Female;30;35;Vice President;Marketing;Corporate;Black;21/9/2016;2016;9;21;221,217;0,32;292,00644;United States;Columbus;25/9/2017
E00697;Jonathan;Chavez;Male;29;36;System Administrator ;IT;Manufacturing;Latino;11/5/2017;2017;5;11;87,536;0;87,536;United States;Seattle;
E02183;Sarah;Ayala;Female;47;18;Analyst;Sales;Corporate;Latino;9/6/2015;2015;6;9;41,429;0;41,429;United States;Seattle;
E00715;Elijah;Kang;Male;35;30;Vice President;Engineering;Manufacturing;Asian;10/10/2011;2011;10;10;245,482;0,39;341,21998;United States;Seattle;
E04288;Ella;White;Female;25;40;Development Engineer;Engineering;Manufacturing;Caucasian;20/1/2020;2020;1;20;71,359;0;71,359;United States;Phoenix;
E02421;Jordan;Truong;Male;45;20;Director;Engineering;Speciality Products;Asian;28/8/2014;2014;8;28;183,161;0,22;223,45642;United States;Miami;
E00523;Daniel;Jordan;Male;58;7;Network Administrator;IT;Corporate;Caucasian;26/7/1993;1993;7;26;69,26;0;69,26;United States;Phoenix;
E03615;Daniel;Dixon;Male;51;14;Operations Engineer;Engineering;Speciality Products;Caucasian;9/10/1999;1999;10;9;95,639;0;95,639;United States;Austin;
E02761;Luca;Duong;Male;48;17;Manager;Human Resources;Research & Development;Asian;30/6/2004;2004;6;30;120,66;0,07;129,1062;China;Chengdu;
E02121;Levi;Brown;Male;36;29;Sr. Analyst;Sales;Corporate;Black;26/12/2021;2021;12;26;75,119;0;75,119;United States;Chicago;
E01486;Mason;Cho;Male;59;6;Vice President;Accounting;Research & Development;Asian;18/5/2011;2011;5;18;192,213;0,4;269,0982;United States;Chicago;
E00725;Nova;Herrera;Female;45;20;Account Representative;Sales;Speciality Products;Latino;10/5/2014;2014;5;10;65,047;0;65,047;Brazil;Sao Paulo;
E03027;Elijah;Watson;Male;29;36;Sr. Manger;Sales;Manufacturing;Caucasian;16/3/2017;2017;3;16;151,413;0,15;174,12495;United States;Seattle;
E03689;Wesley;Gray;Male;62;3;Sr. Analyst;Accounting;Speciality Products;Caucasian;22/4/2003;2003;4;22;76,906;0;76,906;United States;Seattle;
E01986;Wesley;Sharma;Male;51;14;Manager;IT;Corporate;Asian;23/2/1994;1994;2;23;122,802;0,05;128,9421;China;Shanghai;
E01286;Mateo;Mendez;Male;47;18;Development Engineer;Engineering;Research & Development;Latino;14/7/1998;1998;7;14;99,091;0;99,091;United States;Austin;
E01409;Jose;Molina;Male;40;25;Controls Engineer;Engineering;Manufacturing;Latino;28/2/2008;2008;2;28;113,987;0;113,987;Brazil;Manaus;
E00626;Luna;Simmons;Female;28;37;Sr. Analyst;Finance;Corporate;Caucasian;4/9/2020;2020;9;4;95,045;0;95,045;United States;Chicago;
E04342;Samantha;Barnes;Female;29;36;Vice President;Marketing;Speciality Products;Caucasian;5/1/2017;2017;1;5;190,401;0,37;260,84937;United States;Columbus;
E03904;Hunter;Ortiz;Male;46;19;Sr. Analyst;Finance;Corporate;Latino;20/1/2013;2013;1;20;86,061;0;86,061;Brazil;Rio de Janerio;
E01291;Thomas;Aguilar;Male;45;20;Sr. Account Representative;Sales;Speciality Products;Latino;10/2/2021;2021;2;10;79,882;0;79,882;United States;Phoenix;
E00917;Skylar;Bell;Female;30;35;Vice President;Engineering;Manufacturing;Caucasian;6/3/2018;2018;3;6;255,431;0,36;347,38616;United States;Columbus;
E01484;Anna;Zhu;Female;48;17;Service Desk Analyst;IT;Manufacturing;Asian;22/8/2003;2003;8;22;82,017;0;82,017;China;Beijing;
E03864;Ella;Hunter;Female;51;14;Analyst;Finance;Manufacturing;Caucasian;18/1/2017;2017;1;18;53,799;0;53,799;United States;Columbus;
E00488;Emery;Hunter;Female;28;37;Sr. Analyst;Sales;Corporate;Caucasian;3/7/2021;2021;7;3;82,739;0;82,739;United States;Phoenix;
E02227;Sofia;Parker;Female;36;29;Cloud Infrastructure Architect;IT;Manufacturing;Caucasian;30/5/2014;2014;5;30;99,08;0;99,08;United States;Chicago;
E04802;Lucy;Fong;Female;40;25;Sr. Account Representative;Sales;Corporate;Asian;20/1/2011;2011;1;20;96,719;0;96,719;China;Chengdu;
E01970;Vivian;Barnes;Female;51;14;Director;Human Resources;Research & Development;Caucasian;28/3/2021;2021;3;28;180,687;0,19;215,01753;United States;Phoenix;
E02813;Kai;Chow;Male;45;20;Engineering Manager;Engineering;Corporate;Asian;12/4/2001;2001;4;12;95,743;0,15;110,10445;United States;Austin;15/1/2010
E02031;Melody;Cooper;Female;44;21;Development Engineer;Engineering;Research & Development;Caucasian;4/9/2009;2009;9;4;89,695;0;89,695;United States;Austin;
E03252;James;Bui;Male;64;1;Manager;Finance;Manufacturing;Asian;20/7/1998;1998;7;20;122,753;0,09;133,80077;China;Chongqing;
E04871;Liam;Grant;Male;30;35;Sr. Business Partner;Human Resources;Research & Development;Caucasian;15/3/2015;2015;3;15;93,734;0;93,734;United States;Phoenix;
E03547;Owen;Han;Male;28;37;Analyst;Accounting;Corporate;Asian;12/5/2017;2017;5;12;52,069;0;52,069;China;Chongqing;
E04742;Kinsley;Vega;Female;33;32;Vice President;Accounting;Corporate;Latino;16/12/2020;2020;12;16;258,426;0,4;361,7964;Brazil;Rio de Janerio;
E01070;Leonardo;Martin;Male;51;14;Manager;Finance;Speciality Products;Black;16/2/1995;1995;2;16;125,375;0,09;136,65875;United States;Chicago;
E04359;Greyson;Lam;Male;25;40;Vice President;Accounting;Manufacturing;Asian;8/2/2021;2021;2;8;198,243;0,31;259,69833;United States;Miami;
E03268;Emilia;Rivera;Female;42;23;Test Engineer;Engineering;Research & Development;Latino;23/11/2017;2017;11;23;96,023;0;96,023;United States;Miami;
E04035;Penelope;Johnson;Female;34;31;Sr. Analyst;Marketing;Research & Development;Caucasian;25/6/2012;2012;6;25;83,066;0;83,066;United States;Chicago;5/6/2013
E01221;Eva;Figueroa;Female;48;17;Analyst II;Sales;Research & Development;Latino;14/5/2014;2014;5;14;61,216;0;61,216;United States;Seattle;
E00276;Ezekiel;Jordan;Male;33;32;Sr. Manger;Accounting;Corporate;Caucasian;10/2/2013;2013;2;10;144,231;0,14;164,42334;United States;Columbus;17/7/2020
E01687;Luke;Mai;Male;41;24;HRIS Analyst;Human Resources;Research & Development;Asian;24/10/2007;2007;10;24;51,63;0;51,63;China;Beijing;
E02844;Charles;Diaz;Male;55;10;Sr. Manger;Sales;Corporate;Latino;16/11/2013;2013;11;16;124,129;0,15;142,74835;Brazil;Sao Paulo;
E01263;Adam;Espinoza;Male;36;29;Test Engineer;Engineering;Manufacturing;Latino;9/4/2009;2009;4;9;60,055;0;60,055;United States;Seattle;
E00119;Jack;Maldonado;Male;31;34;Director;Engineering;Research & Development;Latino;26/8/2020;2020;8;26;189,29;0,22;230,9338;Brazil;Sao Paulo;25/9/2020
E03935;Cora;Jiang;Female;53;12;Vice President;IT;Corporate;Asian;30/4/2008;2008;4;30;182,202;0,3;236,8626;United States;Austin;
E00742;Cooper;Mitchell;Male;43;22;Manager;Sales;Speciality Products;Caucasian;31/1/2006;2006;1;31;117,518;0,07;125,74426;United States;Seattle;
E02810;Layla;Torres;Female;37;28;Sr. Manger;Finance;Manufacturing;Latino;24/2/2013;2013;2;24;157,474;0,11;174,79614;Brazil;Rio de Janerio;
E01860;Jack;Edwards;Male;38;27;Manager;Marketing;Manufacturing;Caucasian;6/4/2008;2008;4;6;126,856;0,06;134,46736;United States;Columbus;
E04890;Eleanor;Chan;Female;49;16;Sr. Manger;Accounting;Manufacturing;Asian;2/4/2001;2001;4;2;129,124;0,12;144,61888;China;Shanghai;
E02285;Aria;Xi;Female;45;20;Director;Sales;Research & Development;Asian;1/3/2002;2002;3;1;165,181;0,16;191,60996;United States;Seattle;
E00842;John;Vega;Male;50;15;Vice President;Finance;Corporate;Latino;18/1/2004;2004;1;18;247,939;0,35;334,71765;Brazil;Rio de Janerio;
E01271;Luke;Munoz;Male;64;1;Director;Engineering;Speciality Products;Latino;25/8/2017;2017;8;25;169,509;0,18;200,02062;Brazil;Manaus;
E01921;Sarah;Daniels;Female;55;10;Sr. Manger;Accounting;Manufacturing;Caucasian;9/1/2011;2011;1;9;138,521;0,1;152,3731;United States;Miami;
E03664;Aria;Castro;Female;45;20;Engineering Manager;Engineering;Speciality Products;Latino;14/3/2014;2014;3;14;113,873;0,11;126,39903;Brazil;Rio de Janerio;
E00813;Autumn;Joseph;Female;39;26;Enterprise Architect;IT;Corporate;Black;9/5/2018;2018;5;9;73,317;0;73,317;United States;Miami;
E00870;Evelyn;Liang;Female;40;25;Service Desk Analyst;IT;Speciality Products;Asian;26/6/2013;2013;6;26;69,096;0;69,096;United States;Seattle;
E04167;Henry;Alvarez;Male;48;17;Sr. Business Partner;Human Resources;Manufacturing;Latino;12/4/2005;2005;4;12;87,158;0;87,158;Brazil;Manaus;
E00245;Benjamin;Delgado;Male;64;1;Test Engineer;Engineering;Corporate;Latino;28/9/1992;1992;9;28;70,778;0;70,778;United States;Austin;
E00976;Zoe;Rodriguez;Female;65;0;Director;Human Resources;Speciality Products;Latino;23/5/2004;2004;5;23;153,938;0,2;184,7256;United States;Phoenix;
E04112;Axel;Chu;Male;43;22;Systems Analyst;IT;Research & Development;Asian;4/5/2018;2018;5;4;59,888;0;59,888;China;Beijing;
E01807;Cameron;Evans;Male;50;15;Test Engineer;Engineering;Corporate;Caucasian;13/12/2018;2018;12;13;63,098;0;63,098;United States;Columbus;
E04103;Isabella;Soto;Female;27;38;Vice President;Finance;Corporate;Latino;15/12/2021;2021;12;15;255,369;0,33;339,64077;Brazil;Sao Paulo;
E01412;Eva;Jenkins;Female;55;10;Sr. Manger;Human Resources;Manufacturing;Black;10/11/2004;2004;11;10;142,318;0,14;162,24252;United States;Chicago;
E04386;Cameron;Powell;Male;41;24;Business Partner;Human Resources;Manufacturing;Black;20/8/2004;2004;8;20;49,186;0;49,186;United States;Austin;17/6/2008
E01232;Samantha;Foster;Female;34;31;Vice President;Human Resources;Research & Development;Black;27/7/2019;2019;7;27;220,937;0,38;304,89306;United States;Austin;
E04572;Jade;Li;Female;47;18;Director;IT;Speciality Products;Asian;26/10/2012;2012;10;26;183,156;0,3;238,1028;United States;Seattle;
E02747;Kinsley;Acosta;Female;32;33;Vice President;IT;Speciality Products;Latino;22/7/2020;2020;7;22;192,749;0,31;252,50119;United States;Chicago;
E01064;Clara;Kang;Female;39;26;Sr. Manger;IT;Manufacturing;Asian;25/3/2017;2017;3;25;135,325;0,14;154,2705;United States;Phoenix;
E00178;Harper;Alexander;Female;26;39;Sr. Analyst;Sales;Speciality Products;Caucasian;14/10/2019;2019;10;14;79,356;0;79,356;United States;Phoenix;
E01091;Carter;Reed;Male;40;25;Development Engineer;Engineering;Manufacturing;Black;7/7/2005;2005;7;7;74,412;0;74,412;United States;Seattle;
E01525;Charlotte;Ruiz;Female;32;33;Computer Systems Manager;IT;Manufacturing;Latino;2/10/2017;2017;10;2;61,886;0,09;67,45574;Brazil;Rio de Janerio;
E01309;Everleigh;Jiang;Female;58;7;Director;Accounting;Research & Development;Asian;14/5/2003;2003;5;14;173,071;0,29;223,26159;United States;Columbus;
E02378;Audrey;Smith;Female;58;7;Field Engineer;Engineering;Research & Development;Caucasian;27/10/1995;1995;10;27;70,189;0;70,189;United States;Columbus;
E04127;Emery;Acosta;Female;42;23;Vice President;Sales;Research & Development;Latino;11/9/2013;2013;9;11;181,452;0,3;235,8876;United States;Columbus;
E02072;Charles;Robinson;Male;26;39;HRIS Analyst;Human Resources;Speciality Products;Caucasian;12/3/2021;2021;3;12;70,369;0;70,369;United States;Seattle;
E02555;Landon;Lopez;Male;38;27;Sr. Analyst;Accounting;Manufacturing;Latino;5/7/2008;2008;7;5;78,056;0;78,056;Brazil;Sao Paulo;
E00187;Miles;Mehta;Male;64;1;Director;Finance;Research & Development;Asian;2/5/1996;1996;5;2;189,933;0,23;233,61759;United States;Miami;
E04332;Ezra;Simmons;Male;38;27;Automation Engineer;Engineering;Speciality Products;Caucasian;1/7/2010;2010;7;1;78,237;0;78,237;United States;Phoenix;
E02062;Nora;Santiago;Female;55;10;Analyst;Accounting;Research & Development;Latino;26/6/1996;1996;6;26;48,687;0;48,687;Brazil;Rio de Janerio;
E00034;Caroline;Herrera;Female;45;20;Sr. Manger;Marketing;Manufacturing;Latino;19/8/2004;2004;8;19;121,065;0,15;139,22475;Brazil;Rio de Janerio;
E00273;David;Owens;Male;43;22;Sr. Analyst;Sales;Corporate;Black;16/4/2004;2004;4;16;94,246;0;94,246;United States;Austin;
E00691;Avery;Yee;Female;34;31;Systems Analyst;IT;Manufacturing;Asian;22/5/2016;2016;5;22;44,614;0;44,614;United States;Miami;
E01403;Xavier;Park;Male;40;25;Vice President;IT;Research & Development;Asian;8/11/2020;2020;11;8;234,469;0,31;307,15439;China;Chengdu;
E03438;Asher;Morales;Male;52;13;Automation Engineer;Engineering;Research & Development;Latino;10/7/2020;2020;7;10;88,272;0;88,272;Brazil;Sao Paulo;
E04136;Mason;Cao;Male;52;13;Analyst II;Finance;Corporate;Asian;14/9/2017;2017;9;14;74,449;0;74,449;China;Beijing;
E02944;Joshua;Fong;Male;47;18;Vice President;Engineering;Speciality Products;Asian;11/6/2012;2012;6;11;222,941;0,39;309,88799;China;Beijing;
E03300;Maria;Chin;Female;65;0;Analyst;Marketing;Manufacturing;Asian;26/9/2013;2013;9;26;50,341;0;50,341;China;Beijing;
E00078;Eva;Garcia;Female;31;34;HRIS Analyst;Human Resources;Corporate;Latino;11/4/2021;2021;4;11;72,235;0;72,235;Brazil;Manaus;
E00825;Anna;Molina;Female;41;24;Sr. Analyst;Accounting;Corporate;Latino;12/6/2016;2016;6;12;70,165;0;70,165;United States;Columbus;
E04972;Logan;Bryant;Male;30;35;Sr. Manger;Marketing;Speciality Products;Caucasian;18/7/2020;2020;7;18;148,485;0,15;170,75775;United States;Miami;
E03941;Isla;Han;Female;58;7;Technical Architect;IT;Manufacturing;Asian;18/6/2005;2005;6;18;86,089;0;86,089;United States;Chicago;
E02148;Christopher;Vega;Male;54;11;Engineering Manager;Engineering;Research & Development;Latino;27/10/2007;2007;10;27;106,313;0,15;122,25995;United States;Chicago;
E02252;Lillian;Park;Female;40;25;Analyst;Marketing;Research & Development;Asian;24/2/2021;2021;2;24;46,833;0;46,833;China;Chengdu;10/11/2021
E03096;Kennedy;Zhang;Female;63;2;Director;Finance;Research & Development;Asian;27/10/2000;2000;10;27;155,32;0,17;181,7244;China;Chongqing;
E04800;Eli;Han;Male;40;25;Sr. Analyst;Accounting;Manufacturing;Asian;15/1/2016;2016;1;15;89,984;0;89,984;China;Chengdu;
E02838;Julia;Pham;Female;65;0;Engineering Manager;Engineering;Speciality Products;Asian;16/3/2006;2006;3;16;83,756;0,14;95,48184;China;Shanghai;
E02980;Hailey;Shin;Female;57;8;Director;Human Resources;Corporate;Asian;24/10/2016;2016;10;24;176,324;0,23;216,87852;China;Shanghai;
E04477;Connor;Grant;Male;27;38;Sr. Analyst;Accounting;Speciality Products;Caucasian;13/10/2021;2021;10;13;74,077;0;74,077;United States;Seattle;
E04348;Natalia;Owens;Female;31;34;Manager;Human Resources;Manufacturing;Caucasian;18/1/2021;2021;1;18;104,162;0,07;111,45334;United States;Austin;
E01638;Maria;He;Female;45;20;IT Systems Architect;IT;Corporate;Asian;28/8/2010;2010;8;28;82,162;0;82,162;China;Beijing;3/10/2020
E03419;Jade;Yi;Female;47;18;Account Representative;Sales;Speciality Products;Asian;10/7/2015;2015;7;10;63,88;0;63,88;China;Chongqing;
E04222;Quinn;Xiong;Female;55;10;Test Engineer;Engineering;Research & Development;Asian;8/9/2013;2013;9;8;73,248;0;73,248;United States;Columbus;
E04126;Dominic;Baker;Male;51;14;Sr. Analyst;Accounting;Manufacturing;Black;9/10/2020;2020;10;9;91,853;0;91,853;United States;Chicago;
E01896;Adam;Nelson;Male;25;40;Director;Finance;Speciality Products;Caucasian;14/1/2020;2020;1;14;168,014;0,27;213,37778;United States;Chicago;27/7/2021
E03018;Autumn;Reed;Female;37;28;Development Engineer;Engineering;Corporate;Caucasian;17/9/2017;2017;9;17;70,77;0;70,77;United States;Miami;
E03325;Robert;Edwards;Male;62;3;HRIS Analyst;Human Resources;Corporate;Caucasian;11/10/2004;2004;10;11;50,825;0;50,825;United States;Seattle;
E04037;Roman;Martinez;Male;31;34;Sr. Manger;Finance;Research & Development;Latino;19/9/2015;2015;9;19;145,846;0,15;167,7229;Brazil;Manaus;
E01902;Eleanor;Li;Female;64;1;Sr. Manger;Human Resources;Research & Development;Asian;7/12/2003;2003;12;7;125,807;0,15;144,67805;United States;Chicago;
E01466;Connor;Vang;Male;25;40;Analyst;Sales;Speciality Products;Asian;28/7/2021;2021;7;28;46,845;0;46,845;United States;Miami;
E02038;Ellie;Chung;Female;59;6;Sr. Manger;Marketing;Corporate;Asian;29/8/2008;2008;8;29;157,969;0,1;173,7659;China;Chongqing;
E03474;Violet;Hall;Female;40;25;Solutions Architect;IT;Corporate;Caucasian;10/12/2010;2010;12;10;97,807;0;97,807;United States;Chicago;
E02744;Dylan;Padilla;Male;31;34;HRIS Analyst;Human Resources;Manufacturing;Latino;9/12/2015;2015;12;9;73,854;0;73,854;United States;Seattle;
E00702;Nathan;Pham;Male;45;20;Sr. Manger;Accounting;Manufacturing;Asian;12/12/2006;2006;12;12;149,537;0,14;170,47218;United States;Seattle;
E03081;Ayla;Brown;Female;49;16;Sr. Manger;Sales;Manufacturing;Caucasian;15/4/2013;2013;4;15;128,303;0,15;147,54845;United States;Phoenix;
E01281;Isaac;Mitchell;Male;46;19;Network Architect;IT;Speciality Products;Black;10/6/2005;2005;6;10;67,374;0;67,374;United States;Austin;
E04029;Jayden;Jimenez;Male;46;19;Manager;Human Resources;Corporate;Latino;24/9/2011;2011;9;24;102,167;0,06;108,29702;Brazil;Rio de Janerio;
E01116;Jaxon;Tran;Male;45;20;Sr. Manger;Sales;Manufacturing;Asian;7/9/2007;2007;9;7;151,027;0,1;166,1297;China;Shanghai;
E01753;Connor;Fong;Male;40;25;Manager;Accounting;Speciality Products;Asian;16/2/2018;2018;2;16;120,905;0,05;126,95025;United States;Seattle;
E04072;Emery;Mitchell;Female;48;17;Vice President;Finance;Manufacturing;Caucasian;2/6/2018;2018;6;2;231,567;0,36;314,93112;United States;Seattle;
E00672;Landon;Luu;Male;31;34;Vice President;IT;Research & Development;Asian;12/7/2015;2015;7;12;215,388;0,33;286,46604;United States;Miami;
E04419;Sophia;Ahmed;Female;30;35;Sr. Manger;Sales;Speciality Products;Asian;13/6/2015;2015;6;13;127,972;0,11;142,04892;United States;Seattle;
E00467;Sofia;Dinh;Female;55;10;Operations Engineer;Engineering;Corporate;Asian;4/8/1995;1995;8;4;80,701;0;80,701;United States;Chicago;14/4/2005
E00365;Jonathan;Patel;Male;28;37;Manager;Marketing;Corporate;Asian;2/2/2020;2020;2;2;115,417;0,06;122,34202;China;Shanghai;
E00306;Piper;Patterson;Female;45;20;Quality Engineer;Engineering;Corporate;Caucasian;19/6/2019;2019;6;19;88,045;0;88,045;United States;Chicago;
E03292;Cora;Evans;Female;45;20;Computer Systems Manager;IT;Speciality Products;Black;26/3/2018;2018;3;26;86,478;0,06;91,66668;United States;Austin;
E04779;Cameron;Young;Male;63;2;Vice President;Engineering;Manufacturing;Caucasian;18/1/2016;2016;1;18;180,994;0,39;251,58166;United States;Seattle;
E00501;Melody;Ho;Female;55;10;Analyst II;Finance;Research & Development;Asian;2/12/2007;2007;12;2;64,494;0;64,494;United States;Columbus;
E01132;Aiden;Bryant;Male;47;18;Account Representative;Sales;Manufacturing;Black;21/10/2002;2002;10;21;70,122;0;70,122;United States;Columbus;
E00556;Grayson;Walker;Male;29;36;Director;Accounting;Manufacturing;Caucasian;19/2/2017;2017;2;19;181,854;0,29;234,59166;United States;Seattle;24/4/2020
E00311;Scarlett;Figueroa;Female;34;31;Business Partner;Human Resources;Speciality Products;Latino;21/10/2016;2016;10;21;52,811;0;52,811;United States;Miami;
E04567;Madeline;Hoang;Female;28;37;Systems Analyst;IT;Research & Development;Asian;25/10/2019;2019;10;25;50,111;0;50,111;China;Chengdu;
E04378;Ezra;Simmons;Male;31;34;Network Administrator;IT;Manufacturing;Black;7/5/2016;2016;5;7;71,192;0;71,192;United States;Austin;
E03251;Ruby;Medina;Female;50;15;Director;Sales;Manufacturing;Latino;18/12/2018;2018;12;18;155,351;0,2;186,4212;United States;Seattle;
E03167;Luke;Zheng;Male;39;26;Director;Human Resources;Speciality Products;Asian;28/11/2006;2006;11;28;161,69;0,29;208,5801;China;Beijing;
E03347;Rylee;Dinh;Female;35;30;Development Engineer;Engineering;Speciality Products;Asian;10/2/2017;2017;2;10;60,132;0;60,132;China;Chongqing;
E03908;Miles;Evans;Male;54;11;Network Architect;IT;Manufacturing;Caucasian;24/10/1994;1994;10;24;87,216;0;87,216;United States;Miami;
E01351;Leo;Owens;Male;47;18;Systems Analyst;IT;Corporate;Caucasian;23/4/2020;2020;4;23;50,069;0;50,069;United States;Seattle;
E02681;Caroline;Owens;Female;26;39;Director;IT;Speciality Products;Caucasian;26/7/2021;2021;7;26;151,108;0,22;184,35176;United States;Phoenix;
E03807;Kennedy;Do;Female;42;23;Computer Systems Manager;IT;Manufacturing;Asian;15/10/2005;2005;10;15;67,398;0,07;72,11586;United States;Phoenix;
E00422;Jade;Acosta;Female;47;18;Development Engineer;Engineering;Research & Development;Latino;29/8/2015;2015;8;29;68,488;0;68,488;United States;Seattle;
E00265;Mila;Vasquez;Female;60;5;Quality Engineer;Engineering;Manufacturing;Latino;16/7/1998;1998;7;16;92,932;0;92,932;United States;Columbus;
E04601;Allison;Ayala;Female;36;29;Analyst;Finance;Corporate;Latino;30/6/2009;2009;6;30;43,363;0;43,363;United States;Austin;
E04816;Jace;Zhang;Male;31;34;Service Desk Analyst;IT;Speciality Products;Asian;14/2/2017;2017;2;14;95,963;0;95,963;China;Chengdu;
E02147;Allison;Medina;Female;55;10;Manager;Finance;Speciality Products;Latino;29/4/2010;2010;4;29;111,038;0,05;116,5899;Brazil;Sao Paulo;
E02914;Maria;Wilson;Female;51;14;Vice President;Engineering;Research & Development;Caucasian;14/6/1996;1996;6;14;200,246;0,34;268,32964;United States;Columbus;
E03268;Everly;Coleman;Female;48;17;Vice President;IT;Corporate;Caucasian;18/2/2015;2015;2;18;194,871;0,35;263,07585;United States;Columbus;
E03972;Jordan;Gomez;Male;58;7;Sr. Analyst;Accounting;Research & Development;Latino;15/9/1994;1994;9;15;98,769;0;98,769;Brazil;Rio de Janerio;3/10/2016
E02189;Isla;Chavez;Female;29;36;Account Representative;Sales;Research & Development;Latino;19/5/2018;2018;5;19;65,334;0;65,334;Brazil;Rio de Janerio;
E04290;Hannah;Gomez;Female;25;40;Technical Architect;IT;Manufacturing;Latino;11/5/2021;2021;5;11;83,934;0;83,934;United States;Miami;
E03630;Jacob;Davis;Male;36;29;Director;Accounting;Research & Development;Caucasian;3/9/2016;2016;9;3;150,399;0,28;192,51072;United States;Chicago;
E00432;Eli;Gupta;Male;37;28;Director;Human Resources;Research & Development;Asian;19/5/2012;2012;5;19;160,28;0,19;190,7332;China;Beijing;
E03045;Andrew;Huynh;Male;57;8;Business Partner;Human Resources;Speciality Products;Asian;28/4/1997;1997;4;28;54,051;0;54,051;United States;Miami;11/10/1998
E01924;Anna;Gutierrez;Female;59;6;Director;Engineering;Research & Development;Latino;15/4/2003;2003;4;15;150,699;0,29;194,40171;Brazil;Sao Paulo;
E04877;Samuel;Vega;Male;37;28;Analyst II;Marketing;Speciality Products;Latino;30/3/2013;2013;3;30;69,57;0;69,57;United States;Miami;
E02770;Liliana;Do;Female;30;35;Service Desk Analyst;IT;Manufacturing;Asian;29/3/2019;2019;3;29;86,774;0;86,774;China;Chengdu;
E04590;Isaac;Sanders;Male;49;16;HRIS Analyst;Human Resources;Manufacturing;Caucasian;29/3/2001;2001;3;29;57,606;0;57,606;United States;Miami;
E01977;Raelynn;Gupta;Female;48;17;Sr. Manger;Finance;Corporate;Asian;10/9/2001;2001;9;10;125,73;0,11;139,5603;China;Chongqing;
E01378;Genesis;Xiong;Female;51;14;System Administrator ;IT;Research & Development;Asian;25/2/2012;2012;2;25;64,17;0;64,17;United States;Columbus;
E04224;Lucas;Ramos;Male;56;9;Sr. Business Partner;Human Resources;Speciality Products;Latino;21/1/1998;1998;1;21;72,303;0;72,303;United States;Phoenix;
